Serial No.,District/State,Female Literacy,% of Agriculture Labour 2011,"Wealth Index Score, 2011",MPCE(MMRP) at 2011-12,"Poverty Head Ratio (%), 2010 - 2011","Poverty Gap Ratio (%), 2010-11","Squared Poverty Gap Ratio %, 2010-11","Gini, 2010 - 2011",Log Mean Deviation,Theil Index,All India Rank of District in poverty head count ratio,Distric Rank in Poverty Head Count Ratio among all Districts in the State,"Sample Size, NSS"
55,North Cachar Hills,71.33,5.12,16.52,"1,093",57.30,12.75,4.17,0.19,0.06,0.06,549,23,192
56,Karbi Anglong,62.00,13.82,25.54,"1,021",66.26,12.04,3.06,0.17,0.05,0.06,587,24,256
57,Cachar,73.68,10.30,18.47,992,69.12,15.45,4.69,0.19,0.06,0.08,598,25,320
58,Karimganj,72.09,15.71,12.29,880,79.18,19.83,7.01,0.19,0.06,0.07,618,26,256
59,Hailakandi,67.60,13.80,12.93,882,79.54,23.14,7.79,0.21,0.07,0.11,619,27,192
,Assam,66.27,13.76,25.91,"1,287",42.20,8.86,2.69,0.26,0.11,0.17,,,"6,887"
60,Khagaria,49.56,53.04,15.83,"1,196",35.19,5.09,1.24,0.20,0.07,0.10,336,1,192
61,Saharsa,41.68,49.12,15.77,"1,210",36.58,7.65,2.48,0.23,0.09,0.11,352,2,192
62,Gopalganj,54.81,43.15,34.20,"1,079",38.08,6.99,1.98,0.17,0.05,0.06,373,3,256
63,Begusarai,55.21,41.39,21.83,"1,200",38.09,7.79,2.16,0.21,0.07,0.07,375,4,256
64,Jehanabad,55.01,41.53,21.99,"1,066",41.07,11.79,5.01,0.23,0.09,0.10,397,5,192
65,Madhubani,46.16,48.14,22.51,"1,112",41.81,11.39,4.70,0.25,0.11,0.12,410,6,320
66,Siwan,58.66,38.26,32.04,"1,044",41.94,9.78,3.03,0.19,0.06,0.07,413,7,256
67,Supaul,44.77,54.78,18.20,"1,168",43.52,7.75,2.26,0.21,0.07,0.09,431,8,192
68,Samastipur,51.51,48.47,21.52,"1,124",45.21,8.18,2.20,0.20,0.07,0.09,446,9,320
69,Araria,43.93,54.13,18.47,"1,108",45.25,10.42,3.09,0.23,0.09,0.12,447,10,256
70,Vaishali,56.73,43.47,28.23,"1,179",46.36,9.68,3.09,0.25,0.10,0.16,455,11,256
71,Nawada,48.86,40.36,15.46,"1,032",46.43,8.51,2.38,0.16,0.04,0.05,456,12,192
72,Purnia,42.34,54.43,17.75,"1,044",48.36,9.70,2.66,0.18,0.06,0.08,476,13,248
73,Patna,61.96,29.55,35.74,"1,373",49.43,12.70,4.49,0.34,0.18,0.30,488,14,448
74,Kishanganj,46.76,55.32,16.99,"1,076",49.92,13.50,4.99,0.24,0.09,0.11,491,15,192
75,Munger,62.08,42.58,24.07,"1,056",50.36,16.32,6.47,0.26,0.11,0.14,494,16,183
76,Darbhanga,45.24,48.09,20.53,"1,059",50.98,9.98,3.01,0.20,0.07,0.09,500,17,320
77,Pashchim,44.69,59.58,23.20,"1,029",51.28,13.31,4.56,0.22,0.08,0.08,503,18,254
78,Champaran Lakhisarai,52.57,42.71,19.50,970,51.33,15.71,5.75,0.22,0.08,0.11,505,19,183
79,Saran,54.42,44.96,31.53,"1,065",51.56,12.07,4.28,0.23,0.09,0.10,508,20,320
80,Arwal,54.85,51.55,22.08,"1,024",51.91,11.84,3.59,0.21,0.07,0.09,512,21,128
81,Gaya,53.34,38.99,22.64,"1,059",52.58,11.06,3.27,0.21,0.07,0.09,517,22,320
82,Madhepura,41.74,53.23,16.91,"1,025",52.63,13.18,4.04,0.22,0.08,0.09,518,23,192
83,Rohtas,62.97,40.95,28.49,"1,064",54.70,12.78,3.99,0.23,0.09,0.11,530,24,248
84,Sheikhpura,53.40,39.39,20.23,"1,020",54.78,13.39,4.48,0.21,0.07,0.08,531,25,191
85,Banka,47.66,54.37,18.24,974,55.22,12.21,3.75,0.19,0.06,0.07,534,26,192
86,Aurangabad,59.71,45.07,24.41,952,55.46,13.00,5.08,0.19,0.07,0.07,536,27,192
87,Purba Champaran,45.12,53.33,27.51,983,55.63,14.73,5.31,0.23,0.09,0.11,537,28,320
88,Katihar,44.39,58.85,17.28,998,57.47,12.02,3.39,0.20,0.06,0.09,554,29,248
89,Muzaffarpur,54.67,45.31,27.32,"1,021",58.70,14.41,4.59,0.24,0.09,0.13,559,30,319
90,Bhojpur,58.03,40.60,27.45,942,59.12,19.23,7.60,0.23,0.09,0.11,563,31,256
91,Bhagalpur,54.89,44.97,22.62,"1,050",61.67,14.70,4.56,0.24,0.09,0.13,574,32,239
92,Kaimur Bhabua,58.40,47.66,25.55,888,62.09,17.91,6.24,0.21,0.07,0.08,576,33,192
93,Buxar,58.63,42.66,27.90,"1,002",65.85,14.82,4.45,0.23,0.08,0.11,586,34,192
94,Sheohar,45.26,57.32,23.25,974,70.38,18.08,5.79,0.26,0.11,0.17,602,35,191
95,Jamui,47.28,39.07,18.36,827,72.03,21.12,8.38,0.21,0.07,0.10,605,36,185
96,Nalanda,53.10,40.73,18.73,891,73.65,24.50,9.82,0.27,0.11,0.18,610,37,256
97,Sitamarhi,42.41,51.86,20.37,863,74.91,20.15,7.31,0.21,0.07,0.10,614,38,255
,Bihar,51.50,46.60,23.47,"1,060",52.02,12.61,4.27,0.24,0.09,0.13,,,"9,144"
98,Chandigarh,81.19,0.36,67.63,"3,549",16.84,3.51,1.10,0.39,0.25,0.34,142,,617
99,Jashpur,58.61,32.73,12.98,"1,164",35.18,6.10,1.57,0.22,0.08,0.10,335,1,192
100,Koriya,60.60,27.24,20.31,"1,226",38.32,7.96,2.19,0.26,0.11,0.13,377,2,160
101,Bilaspur,59.71,35.93,21.77,"1,295",41.25,9.72,3.46,0.32,0.17,0.29,400,3,408
102,Surguja,50.32,39.91,15.85,"1,111",42.47,9.61,3.08,0.25,0.10,0.13,419,4,384
103,Raipur,65.75,31.30,29.06,"1,280",43.86,10.80,4.02,0.32,0.18,0.34,435,5,504
104,Mahasamund,60.25,42.76,19.40,"1,070",45.33,9.94,3.69,0.25,0.10,0.15,448,6,192
105,Durg,70.23,25.78,33.06,"1,320",47.84,13.66,5.25,0.36,0.21,0.39,470,7,511
106,Dhamtari,69.08,28.62,25.24,"1,096",49.98,12.42,4.72,0.30,0.15,0.30,492,8,184
107,Uttar Bastar Kanker,60.64,24.36,19.50,"1,069",51.32,10.34,2.66,0.25,0.10,0.16,504,9,192
108,Korba,61.93,34.98,23.99,"1,161",56.85,17.00,7.16,0.34,0.19,0.33,543,10,223
109,Janjgir-Champa,61.31,39.86,19.82,994,56.97,13.64,4.42,0.24,0.09,0.15,544,11,256
110,Kabirdham,48.71,31.35,16.02,988,57.04,12.37,4.10,0.24,0.10,0.21,545,12,192
111,Raigarh,63.02,37.26,20.25,"1,045",57.39,12.86,3.81,0.27,0.12,0.20,551,13,248
112,Dakshin Bastar,32.54,20.78,10.80,"1,043",67.80,18.47,6.71,0.36,0.22,0.69,591,14,160
113,Dantewada Rajnandgaon,66.70,25.79,23.93,975,69.85,19.89,7.67,0.31,0.16,0.26,601,15,256
114,Narayanpur,39.88,17.29,14.09,917,72.07,20.49,7.34,0.29,0.15,0.41,606,16,695
